analysis_id,n_persons,person_days,n_events,incidence_start_date,incidence_end_date,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,cohort_obscured,result_obscured,outcome_cohort_id,outcome_cohort_name,analysis_repeated_events,analysis_interval,analysis_complete_database_intervals,denominator_cohort_id,analysis_outcome_washout,analysis_min_cell_count,denominator_cohort_name,denominator_age_group,denominator_sex,denominator_days_prior_observation,denominator_start_date,denominator_end_date,denominator_target_cohort_definition_id,denominator_target_cohort_name,cdm_name,result_type
1,539,339334,0,2017-01-02,2022-06-30T00:00:00Z,929.0458590006845,0,0,397.0610727528379,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,1,NA,5,Denominator cohort 1,0 to 150,Both,0,2002-01-01,2022-12-31,1,IBD,PHARMETRICS_100k,Incidence estimates
10,70,29377,0,2017-01-03,2022-06-30T00:00:00Z,80.42984257357973,0,0,4586.456141250349,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,13,NA,5,Denominator cohort 13,18 to 29,Both,0,2002-01-01,2022-12-31,1,IBD,PHARMETRICS_100k,Incidence estimates
100,84,21334,0,2017-01-06,2022-06-30T00:00:00Z,58.40930869267625,0,0,6315.567735141628,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,121,NA,5,Denominator cohort 121,18 to 29,Both,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
101,31,7672,0,2017-01-06,2022-06-30T00:00:00Z,21.00479123887748,0,0,17562.08577444102,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,122,NA,5,Denominator cohort 122,18 to 29,Male,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
102,53,13662,0,2017-01-06,2022-03-31T00:00:00Z,37.40451745379877,0,0,9862.122826929548,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,123,NA,5,Denominator cohort 123,18 to 29,Female,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
103,109,29071,0,2017-01-12,2022-06-30T00:00:00Z,79.59206023271732,0,0,4634.732966238226,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,124,NA,5,Denominator cohort 124,30 to 39,Both,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
104,47,12731,0,2017-01-20,2022-05-17T00:00:00Z,34.85557837097878,0,0,10583.325902247387,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,125,NA,5,Denominator cohort 125,30 to 39,Male,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
105,62,16340,0,2017-01-12,2022-06-30T00:00:00Z,44.73648186173853,0,0,8245.796943788953,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,126,NA,5,Denominator cohort 126,30 to 39,Female,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
106,148,37491,0,2017-01-10,2022-06-30T00:00:00Z,102.64476386036961,0,0,3593.8311077728385,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,127,NA,5,Denominator cohort 127,40 to 49,Both,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
107,72,17568,0,2017-01-10,2022-05-04T00:00:00Z,48.09856262833676,0,0,7669.417239384761,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,128,NA,5,Denominator cohort 128,40 to 49,Male,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
108,76,19923,0,2017-01-10,2022-06-30T00:00:00Z,54.54620123203286,0,0,6762.853087462305,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,129,NA,5,Denominator cohort 129,40 to 49,Female,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
109,178,46775,0,2017-01-03,2022-03-31T00:00:00Z,128.06297056810405,0,0,2880.5199799361085,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,130,NA,5,Denominator cohort 130,50 to 59,Both,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
11,32,14117,0,2017-01-03,2022-03-31T00:00:00Z,38.65023956194388,0,0,9544.260257952219,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,14,NA,5,Denominator cohort 14,18 to 29,Male,0,2002-01-01,2022-12-31,1,IBD,PHARMETRICS_100k,Incidence estimates
110,78,21549,0,2017-01-03,2022-03-31T00:00:00Z,58.997946611909654,0,0,6252.555666690403,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,131,NA,5,Denominator cohort 131,50 to 59,Male,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
111,100,25226,0,2017-01-03,2022-03-31T00:00:00Z,69.06502395619438,0,0,5341.168717256462,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,132,NA,5,Denominator cohort 132,50 to 59,Female,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
112,186,51975,0,2017-01-07,2022-06-30T00:00:00Z,142.29979466119096,0,0,2592.32942879291,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,133,NA,5,Denominator cohort 133,60 to 69,Both,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
113,83,23444,0,2017-01-09,2022-06-30T00:00:00Z,64.18617385352498,0,0,5747.155863398375,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,134,NA,5,Denominator cohort 134,60 to 69,Male,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
114,103,28531,0,2017-01-07,2022-06-30T00:00:00Z,78.11362080766598,0,0,4722.453543917546,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,135,NA,5,Denominator cohort 135,60 to 69,Female,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
115,114,33028,0,2017-01-04,2022-06-30T00:00:00Z,90.42573579739904,0,0,4079.457492476429,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,136,NA,5,Denominator cohort 136,70 to 79,Both,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
116,50,14690,0,2017-02-28,2022-06-30T00:00:00Z,40.219028062970565,0,0,9171.97563386736,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,137,NA,5,Denominator cohort 137,70 to 79,Male,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
117,64,18338,0,2017-01-04,2022-04-05T00:00:00Z,50.20670773442848,0,0,7347.383687507443,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,138,NA,5,Denominator cohort 138,70 to 79,Female,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
118,57,18196,0,2017-01-04,2022-03-31T00:00:00Z,49.817932922655714,0,0,7404.722030199576,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,139,NA,5,Denominator cohort 139,80 to 89,Both,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
119,20,6083,0,2017-01-04,2022-03-31T00:00:00Z,16.654346338124572,0,0,22149.65018272423,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,140,NA,5,Denominator cohort 140,80 to 89,Male,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
12,38,15260,0,2017-01-11,2022-06-30T00:00:00Z,41.779603011635864,0,0,8829.378903113466,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,15,NA,5,Denominator cohort 15,18 to 29,Female,0,2002-01-01,2022-12-31,1,IBD,PHARMETRICS_100k,Incidence estimates
120,37,12113,0,2017-01-16,2022-03-31T00:00:00Z,33.163586584531146,0,0,11123.282594032155,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,141,NA,5,Denominator cohort 141,80 to 89,Female,0,2002-01-01,2022-12-31,4,Plaque_psoriasis_365,PHARMETRICS_100k,Incidence estimates
121,209,140123,0,2017-01-03,2022-06-30T00:00:00Z,383.63586584531146,0,0,961.557503489873,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,145,NA,5,Denominator cohort 145,0 to 150,Both,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
122,86,50933,0,2017-01-17,2022-06-30T00:00:00Z,139.4469541409993,0,0,2645.363949924636,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,146,NA,5,Denominator cohort 146,0 to 150,Male,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
123,123,89190,0,2017-01-03,2022-06-30T00:00:00Z,244.18891170431212,0,0,1510.6662412996018,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,147,NA,5,Denominator cohort 147,0 to 150,Female,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
124,NA,NA,0,2020-01-23,2021-10-31T00:00:00Z,NA,0,0,207926.42293443132,TRUE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,154,NA,5,Denominator cohort 154,13 to 17,Both,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
125,NA,NA,0,2020-01-23,2021-10-31T00:00:00Z,NA,0,0,207926.42293443132,TRUE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,156,NA,5,Denominator cohort 156,13 to 17,Female,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
126,7,2171,0,2017-02-10,2021-12-31T00:00:00Z,5.943874058863792,0,0,62061.87105550966,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,157,NA,5,Denominator cohort 157,18 to 29,Both,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
127,5,1501,0,2017-02-10,2021-12-31T00:00:00Z,4.1095140314852845,0,0,89764.37179314555,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,158,NA,5,Denominator cohort 158,18 to 29,Male,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
128,NA,NA,0,2017-02-21,2018-12-31T00:00:00Z,NA,0,0,201098.9881515097,TRUE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,159,NA,5,Denominator cohort 159,18 to 29,Female,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
129,23,13396,0,2017-01-12,2022-03-31T00:00:00Z,36.67624914442163,0,0,10057.951781241525,FALSE,FALSE,1,Concomitant_TNF_1,FALSE,overall,TRUE,160,NA,5,Denominator cohort 160,30 to 39,Both,0,2002-01-01,2022-12-31,5,Psoriatic_arthritis,PHARMETRICS_100k,Incidence estimates
